,age,norm_r,norm_s,norm_t,post_tran,pre_tran,rotate,scale,session_id,spatial,tracing_item,translate,human_rating,human_norm_rating,norm_shape,norm_spatial,overall
174,2,1.29582807897,1.31423054581,0.722714863146,-0.184397891164,-0.0297071095556,0.175078,0.22011299561,cdm_run_v31526075895791,3.33277348792,square,0.106554,0,-1.60956649857,1.48944521145,1.34476222157,2.83420743302
175,2,-0.239287098504,3.30331109951,2.40256696716,-0.486421525478,-0.156341984868,0.0296407,0.416218398845,cdm_run_v31526147718619,5.46659096817,square,0.223675,0,-1.60956649857,0.101771576962,2.19517389884,2.2969454758
176,2,0.249400305158,2.25495974482,-0.182375182204,-0.190662935376,-0.0764118432999,0.0759391,0.31286041027,cdm_run_v31526148452900,2.32198486777,square,0.0434502,0,-1.22884788078,1.46065992552,0.941922497087,2.40258242261
177,2,0.601487998367,1.61995997063,1.23610380459,-0.378953963518,0.0184698551893,0.109296,0.250255159548,cdm_run_v31526148488690,3.45755177359,square,0.142348,0,-1.60956649857,0.595540558431,1.39449136297,1.9900319214
178,2,0.56586430538,0.795891896776,0.873860101593,-0.232188463211,-0.0160456001759,0.105921,0.169009479671,cdm_run_v31526148488690,2.23561630375,shape,0.117092,0,-0.958219013401,1.26986730671,0.907501167206,2.17736847391
179,2,3.37969273424,1.12781468648,1.71492641233,-0.211493164301,0.0276339165866,0.372504,0.20173407315,cdm_run_v31526154949156,6.22243383304,square,0.175732,2,0.384774151605,1.36495364232,2.496407535,3.86136117731
180,2,1.93637902195,-0.104039637272,0.057632785349,0.00156658072956,0.00261857849546,0.235764,0.0802843468254,cdm_run_v31526160470258,1.88997217003,square,0.0601838,0,-1.26891814421,2.34387501522,0.769748144646,3.11362315986
181,2,0.103367440801,-0.640353839279,-0.423417271193,-0.54888099432,-0.359763950109,0.0621039,0.027408603483,cdm_run_v31526160539320,-0.96040366967,square,0.0266445,4,1.0619131671,-0.185203839162,-0.366240720914,-0.551444560075
182,2,0.6320029899,0.595187344955,0.742551062118,-0.439781248569,-0.127873629332,0.112187,0.149221821,cdm_run_v31526160539320,1.96974139697,shape,0.107937,0,-1.25822955067,0.316064351496,0.801539374546,1.11760372604
183,2,2.69867327602,-0.59561719713,2.96189614383,-0.199323788285,-0.00959744025022,0.307984,0.0318192329226,cdm_run_v31526160796383,5.06495222272,square,0.262672,0,-1.05256474655,1.42086688992,2.03510478218,3.45597167209
184,2,0.674719755978,-0.689593211126,0.00780706473409,-0.385376065969,-0.181587383151,0.116234,0.0225540455049,cdm_run_v31526162477315,-0.00706639041341,square,0.0567099,0,-0.958219013401,0.566033654875,0.013702344585,0.57973599946
185,2,0.19954296773,-0.160177322733,-0.0194501388287,-0.421198457479,-0.224658071995,0.0712156,0.0747496773403,cdm_run_v31526162477315,0.0199155061683,shape,0.0548095,1,-0.126434925588,0.401444587746,0.0244557103909,0.425900298137
186,2,-0.37065672307,-0.614369714981,-0.562805653314,-0.709098339081,-0.345150917768,0.0171947,0.02997040379,cdm_run_v31526163489219,-1.54783209136,square,0.0169262,2,0.384774151605,-0.921336246872,-0.600354460254,-1.52169070713
187,2,-0.355080461221,-0.712712348257,0.550913013159,-0.675841271877,-0.00248426268809,0.0186704,0.0202747070934,cdm_run_v31526241319670,-0.516879796319,square,0.0945758,0,-0.958219013401,-0.768533783501,-0.189478704228,-0.958012487729
188,2,0.0981014673403,-0.539422205004,0.0578436256418,-0.446330040693,-0.211931377649,0.061605,0.0373595523281,cdm_run_v31526246720683,-0.383477112021,square,0.0601985,2,0.278543007266,0.285975361311,-0.136312394759,0.149662966553
189,2,2.5474810454,1.24923621651,0.539256556973,-0.510029613972,-0.125714302063,0.29366,0.21370514092,cdm_run_v31526249267204,4.33597381888,square,0.0937631,0,-0.958219013401,-0.00669782159488,1.74457770906,1.73787988747
