,session_id,age,tracing_item,pre_mse,post_mse,rotate,translate,scale,correct,condition
91,e11533073144281,5,this square,0.0351896,0.015310615,0.049861,0.0523046,0.103886604,0.44,W
92,e11533073144281,5,this shape,0.0575833,0.048159789,0.0435186,0.021831,0.48973155,0.44,W
93,e11533073144281,5,this circle,0.0553667,0.030103091,0.0350205,0.038703,0.060772836,0.44,W
94,e11533077186611,5,this square,0.0513874,0.050854657,0.0019365,0.0140134,0.037238479,0.06,P
95,e11533077186611,5,this shape,0.0598819,0.050422721,2.88E-05,0.0364726,0.096770525,0.06,P
96,e11533077186611,5,this circle,0.0533801,0.045924369,0.00479271,0.103338,0.054749846,0.06,P
97,e11533077471951,5,this square,0.077047,0.064995542,0.0435452,0.0400981,0.081665516,0.046666667,W
98,e11533077471951,5,this shape,0.0585565,0.045515802,0.00577928,0.0328279,0.170808434,0.046666667,W
99,e11533077471951,5,this circle,0.0632792,0.061223075,0.00163128,0.0421514,0.155429959,0.046666667,W
100,e11533079562976,5,this shape,0.0807836,0.07267607,0.00319403,0.0263067,0.811743855,0.486666667,S
101,e11533079562976,5,this circle,0.0589718,0.014590694,0.00485251,0.152628,0.062431216,0.486666667,S
102,e11533079944053,6,this square,0.0702815,0.07493934,0.0607921,0.303554,3.310948849,0.04,W
103,e11533080485289,4,this square,0.0654161,0.055875637,0.0388532,0.0589869,1.109941006,0.186666667,S
104,e11533080485289,4,this circle,0.0563439,0.064432949,0.0154181,0.0755813,0.262399316,0.186666667,S
105,e11533145279933,5,this square,0.0406595,0.018913891,0.00469622,0.0426412,0.054482341,0.62,W
106,e11533145279933,5,this shape,0.0702117,0.082288295,0.0262809,0.0148399,0.361488819,0.62,W
107,e11533145279933,5,this circle,0.0519675,0.034601722,0.0287675,0.0161943,0.035286129,0.62,W
108,e11533145985106,4,this square,0.0383396,0.031511966,0.131647,0.0691265,0.148180366,0.04,P
109,e11533145985106,4,this shape,0.0737371,0.071886405,0.0534681,0.0900182,0.318779707,0.04,P
110,e11533146317748,7,this square,0.0295441,0.019782327,0.000883788,0.00830204,0.015743852,0.833333333,P
111,e11533146317748,7,this shape,0.0504791,0.025667397,0.018046,0.0586076,0.136233628,0.833333333,P
112,e11533146317748,7,this circle,0.0523538,0.029826708,0.0140561,0.0809677,0.032456696,0.833333333,P
113,e11533147693749,5,this square,0.0449727,0.037399717,0.00271255,0.0391492,0.002736628,0.173333333,S
114,e11533147693749,5,this shape,0.0514535,0.028078591,0.015558,0.0414449,0.07238698,0.173333333,S
115,e11533147693749,5,this circle,0.0488254,0.025653703,0.0628849,0.0422273,0.014229059,0.173333333,S
116,e11533147991237,6,this square,0.0318258,0.020382375,0.107562,0.0178846,0.000890613,0.473333333,W
117,e11533147991237,6,this shape,0.0529862,0.030425005,0.0237043,0.0451753,0.039509058,0.473333333,W
118,e11533147991237,6,this circle,0.0488863,0.044742875,0.000941989,0.0148132,0.01922214,0.473333333,W
119,e11533148420272,7,this square,0.0464478,0.017514592,0.0239225,0.0459535,0.039765,0.446666667,P
120,e11533148420272,7,this shape,0.0712368,0.076346025,0.048398,0.0545247,0.358039141,0.446666667,P
121,e11533148420272,7,this circle,0.0615223,0.055370633,0.00144517,0.010221,0.095494866,0.446666667,P
122,e11533148939408,5,this square,0.0426566,0.027484525,0.00890056,0.0702169,0.00232935,0.155555556,S
123,e11533148939408,5,this circle,0.0516051,0.059826177,0.0420848,0.0827405,0.273056746,0.155555556,S
124,e11533153765735,5,this square,0.0308965,0.023824291,0.040357,0.00383422,0.015945315,0.64,S
125,e11533153765735,5,this shape,0.0606619,0.046091929,0.0160268,0.0385253,0.231092691,0.64,S
126,e11533153765735,5,this circle,0.0589776,0.058342244,0.0133373,0.027696,0.132570386,0.64,S
127,e11533154273996,5,this square,0.047756,0.018072098,0.0281769,0.0566857,0.045564353,0.54,W
128,e11533154273996,5,this shape,0.0633009,0.031795342,0.00498815,0.0673385,0.065682292,0.54,W
129,e11533154273996,5,this circle,0.0478845,0.036088329,0.00361621,0.00716499,0.086168289,0.54,W
130,e11533156255593,6,this square,0.0497417,0.012351349,0.06805,0.0529332,0.102828085,0.333333333,W
131,e11533156255593,6,this shape,0.0513966,0.041236591,0.00164972,0.0579318,0.197097063,0.333333333,W
132,e11533156255593,6,this circle,0.0565047,0.048875041,0.00179111,0.0438203,0.0251441,0.333333333,W
133,e11533156546289,7,this square,0.0409769,0.017920665,0.0167659,0.05485,0.035015464,0.7,P
134,e11533156546289,7,this shape,0.067947,0.025843289,0.0160183,0.0582414,0.100903153,0.7,P
135,e11533156546289,7,this circle,0.0425812,0.028046306,0.0124806,0.0255003,0.092992187,0.7,P
136,e11533157120454,5,this square,0.040557,0.033237711,0.0934708,0.0211672,0.030678391,0.24,P
137,e11533157120454,5,this shape,0.0910757,0.094522312,0.0240843,0.0169911,0.926161766,0.24,P
138,e11533157120454,5,this circle,0.0494689,0.047356188,0.00155655,0.00163344,0.022310555,0.24,P
139,e11533157666476,5,this square,0.0340996,0.013722933,0.0450361,0.0429091,0.049271941,0.606666667,W
140,e11533157666476,5,this shape,0.0557035,0.032384992,0.00070252,0.0424134,0.069023848,0.606666667,W
141,e11533157666476,5,this circle,0.0578346,0.048248481,0.000755835,0.0367982,0.080474377,0.606666667,W
142,e11533158163200,5,this square,0.036761,0.018636663,0.0362281,0.0304357,0.027988911,0.54,S
143,e11533158163200,5,this shape,0.0525977,0.049641792,0.00233163,0.0162131,0.099148512,0.54,S
